Index Name,URL
NIFTY Quality Low-Volatility 30,https://www.nseindia.com/products-services/indices-niftyqualitylowvolatility30-index
NIFTY Alpha Quality Low-Volatility 30,https://www.nseindia.com/products-services/indices-niftyalphaqualitylowvolatility30-index
NIFTY Alpha Quality Value Low-Volatility 30,https://www.nseindia.com/products-services/indices-niftyalphaqualityvaluelowvolatility30-index
NIFTY200 Quality 30,https://www.nseindia.com/products-services/indices-nifty200quality30-index
NIFTY Midcap150 Quality 50,https://www.nseindia.com/products-services/indices-niftymidcap150quality50-index
Nifty200 Momentum 30,https://www.nseindia.com/products-services/indices-nifty200momentum30-index
Nifty India Manufacturing,https://www.nseindia.com/products-services/indices-niftyindiamanufacturing-index
Nifty100 ESG Sector Leaders,https://www.nseindia.com/products-services/indices-nifty100esgsectorleaders-index
Nifty200 Alpha 30,https://www.nseindia.com/products-services/indices-nifty200alpha30-index
Nifty Midcap150 Momentum 50,https://www.nseindia.com/products-services/indices-niftymidcap150momentum50-index
Nifty Smallcap250 Quality 50,https://www.nseindia.com/products-services/indices-niftysmallcap250quality50-index
Nifty Smallcap250 Momentum Quality 100,https://www.nseindia.com/products-services/indices-niftysmallcap250momentumquality100-index
Nifty MidSmallcap400 Momentum Quality 100,https://www.nseindia.com/products-services/indices-niftymidsmallcap400momentumquality100-index
Nifty500 Momentum 50,https://www.nseindia.com/products-services/indices-nifty500momentum50-index
Nifty200 Value 30,https://www.nseindia.com/products-services/indices-nifty200value30-index
Nifty 8-13 yr G-Sec,https://www.nseindia.com/products-services/indices-nifty813yrgsec-index
Nifty 4-8 yr G-Sec Index,https://www.nseindia.com/products-services/indices-nifty48yrgsecindex-index
Nifty 11-15 yr G-Sec Index,https://www.nseindia.com/products-services/indices-nifty1115yrgsecindex-index
Nifty 15 yr and above G-Sec Index,https://www.nseindia.com/products-services/indices-nifty15yrandabovegsecindex-index
Nifty Composite G-sec Index,https://www.nseindia.com/products-services/indices-niftycompositegsecindex-index
Nifty 10 yr Benchmark G-Sec,https://www.nseindia.com/products-services/indices-nifty10yrbenchmarkgsec-index
Nifty 10 yr Benchmark G-Sec (Clean Price),https://www.nseindia.com/products-services/indices-nifty10yrbenchmarkgseccleanprice-index
Nifty BHARAT Bond Index - April 2030,https://www.nseindia.com/products-services/indices-niftybharatbondindexapril2030-index
Nifty BHARAT Bond Index - April 2031,https://www.nseindia.com/products-services/indices-niftybharatbondindexapril2031-index
Nifty BHARAT Bond Index - April 2032,https://www.nseindia.com/products-services/indices-niftybharatbondindexapril2032-index
Nifty BHARAT Bond Index - April 2033,https://www.nseindia.com/products-services/indices-niftybharatbondindexapril2033-index
Nifty 1D Rate Index,https://www.nseindia.com/products-services/indices-nifty1drateindex-index
Nifty50 USD,https://www.nseindia.com/products-services/indices-nifty50usd-index
